Nome,Data,Início,Fim,Frente,Tipo,Status,Observações
⚪ Base vital — oração/silêncio/direção,2026-07-13,04:00,05:00,Base,Agenda semanal,Planejado,Pré-condição do dia; sem demandas externas.
🟡 1P — estudo ativo parte 1,2026-07-13,05:00,06:30,Estudos,Agenda semanal,Planejado,Comunidade 1P: absorção ativa com anotação.
🟢 Energia — treino/preparo/café,2026-07-13,06:30,07:30,Energia,Agenda semanal,Planejado,"Saúde, treino e preparação."
🟠 Família — escola filha + almoço,2026-07-13,11:30,13:00,Família,Agenda semanal,Planejado,"Buscar filha na escola, almoço e transição."
🟠 Família — passeio/filha/família,2026-07-13,17:00,19:00,Família,Agenda semanal,Planejado,Corte real do trabalho às 17h.
🟡 1P — aplicação prática parte 2,2026-07-13,19:00,20:30,Estudos,Agenda semanal,Planejado,Aplicar a Comunidade 1P na operação da empresa.
⚪ Fechamento — revisão PG/PD + amanhã,2026-07-13,20:30,21:00,Base,Agenda semanal,Planejado,"Revisão, oração, Única Coisa de amanhã."
⚪ Base vital — oração/silêncio/direção,2026-07-14,04:00,05:00,Base,Agenda semanal,Planejado,Pré-condição do dia; sem demandas externas.
🟡 1P — estudo ativo parte 1,2026-07-14,05:00,06:30,Estudos,Agenda semanal,Planejado,Comunidade 1P: absorção ativa com anotação.
🟢 Energia — treino/preparo/café,2026-07-14,06:30,07:30,Energia,Agenda semanal,Planejado,"Saúde, treino e preparação."
🟠 Família — escola filha + almoço,2026-07-14,11:30,13:00,Família,Agenda semanal,Planejado,"Buscar filha na escola, almoço e transição."
🟠 Família — passeio/filha/família,2026-07-14,17:00,19:00,Família,Agenda semanal,Planejado,Corte real do trabalho às 17h.
🟡 1P — aplicação prática parte 2,2026-07-14,19:00,20:30,Estudos,Agenda semanal,Planejado,Aplicar a Comunidade 1P na operação da empresa.
⚪ Fechamento — revisão PG/PD + amanhã,2026-07-14,20:30,21:00,Base,Agenda semanal,Planejado,"Revisão, oração, Única Coisa de amanhã."
⚪ Base vital — oração/silêncio/direção,2026-07-15,04:00,05:00,Base,Agenda semanal,Planejado,Pré-condição do dia; sem demandas externas.
🟡 1P — estudo ativo parte 1,2026-07-15,05:00,06:30,Estudos,Agenda semanal,Planejado,Comunidade 1P: absorção ativa com anotação.
🟢 Energia — treino/preparo/café,2026-07-15,06:30,07:30,Energia,Agenda semanal,Planejado,"Saúde, treino e preparação."
🟠 Família — escola filha + almoço,2026-07-15,11:30,13:00,Família,Agenda semanal,Planejado,"Buscar filha na escola, almoço e transição."
🟠 Família — passeio/filha/família,2026-07-15,17:00,19:00,Família,Agenda semanal,Planejado,Corte real do trabalho às 17h.
🟡 1P — aplicação prática parte 2,2026-07-15,19:00,20:30,Estudos,Agenda semanal,Planejado,Aplicar a Comunidade 1P na operação da empresa.
⚪ Fechamento — revisão PG/PD + amanhã,2026-07-15,20:30,21:00,Base,Agenda semanal,Planejado,"Revisão, oração, Única Coisa de amanhã."
⚪ Base vital — oração/silêncio/direção,2026-07-16,04:00,05:00,Base,Agenda semanal,Planejado,Pré-condição do dia; sem demandas externas.
🟡 1P — estudo ativo parte 1,2026-07-16,05:00,06:30,Estudos,Agenda semanal,Planejado,Comunidade 1P: absorção ativa com anotação.
🟢 Energia — treino/preparo/café,2026-07-16,06:30,07:30,Energia,Agenda semanal,Planejado,"Saúde, treino e preparação."
🟠 Família — escola filha + almoço,2026-07-16,11:30,13:00,Família,Agenda semanal,Planejado,"Buscar filha na escola, almoço e transição."
🟠 Família — passeio/filha/família,2026-07-16,17:00,19:00,Família,Agenda semanal,Planejado,Corte real do trabalho às 17h.
🟡 1P — aplicação prática parte 2,2026-07-16,19:00,20:30,Estudos,Agenda semanal,Planejado,Aplicar a Comunidade 1P na operação da empresa.
⚪ Fechamento — revisão PG/PD + amanhã,2026-07-16,20:30,21:00,Base,Agenda semanal,Planejado,"Revisão, oração, Única Coisa de amanhã."
⚪ Base vital — oração/silêncio/direção,2026-07-17,04:00,05:00,Base,Agenda semanal,Planejado,Pré-condição do dia; sem demandas externas.
🟡 1P — estudo ativo parte 1,2026-07-17,05:00,06:30,Estudos,Agenda semanal,Planejado,Comunidade 1P: absorção ativa com anotação.
🟢 Energia — treino/preparo/café,2026-07-17,06:30,07:30,Energia,Agenda semanal,Planejado,"Saúde, treino e preparação."
🟠 Família — escola filha + almoço,2026-07-17,11:30,13:00,Família,Agenda semanal,Planejado,"Buscar filha na escola, almoço e transição."
🟠 Família — passeio/filha/família,2026-07-17,17:00,19:00,Família,Agenda semanal,Planejado,Corte real do trabalho às 17h.
🟡 1P — aplicação prática parte 2,2026-07-17,19:00,20:30,Estudos,Agenda semanal,Planejado,Aplicar a Comunidade 1P na operação da empresa.
⚪ Fechamento — revisão PG/PD + amanhã,2026-07-17,20:30,21:00,Base,Agenda semanal,Planejado,"Revisão, oração, Única Coisa de amanhã."
🟣 Entre Tempo — checagem/lista de peças,2026-07-13,07:30,08:30,Projeto,Agenda semanal,Planejado,
🟢 Saúde — 3h,2026-07-13,08:30,11:30,Saúde,Agenda semanal,Planejado,
🟣 Drone — captação avulsa,2026-07-13,13:00,15:00,Projeto,Agenda semanal,Planejado,
🧰 Drone — backup/fechamento,2026-07-13,15:00,15:30,Sistema,Agenda semanal,Planejado,
🟣 MiniDoc índios — abrir material/próxima ação,2026-07-13,15:30,16:30,Projeto,Agenda semanal,Planejado,
🧰 JD AutoCenter — checar status,2026-07-13,16:30,17:00,Sistema,Agenda semanal,Planejado,
🟣 Entre Tempo — plano pré-lançamento,2026-07-14,07:30,10:15,Projeto,Agenda semanal,Planejado,
🟢 Saúde — campo/alinhamentos,2026-07-14,10:15,11:30,Saúde,Agenda semanal,Planejado,
🟢 Saúde — operacional/editorial,2026-07-14,13:00,15:00,Saúde,Agenda semanal,Planejado,
🔵 Câmara,2026-07-14,15:00,17:00,Câmara,Agenda semanal,Planejado,
🟣 MiniDoc índios — estrutura/timeline,2026-07-15,07:30,10:15,Projeto,Agenda semanal,Planejado,
🟢 Saúde — campo/aniversários,2026-07-15,10:15,11:30,Saúde,Agenda semanal,Planejado,
🟢 Saúde — operacional,2026-07-15,13:00,15:00,Saúde,Agenda semanal,Planejado,
🟤 SINDSS,2026-07-15,15:00,16:30,SINDSS,Agenda semanal,Planejado,
💰 JJ + Quiel/Kauã/Lídio — checar/rascunhar,2026-07-15,16:30,17:00,Receita,Agenda semanal,Planejado,
🟣 O Fio da Memória — documento/protagonista/narrador,2026-07-16,07:30,10:15,Projeto,Agenda semanal,Planejado,
🟢 Saúde — recepção sem atendimento/campo,2026-07-16,10:15,11:30,Saúde,Agenda semanal,Planejado,
🟢 Saúde — operacional,2026-07-16,13:00,15:00,Saúde,Agenda semanal,Planejado,
🔵 Câmara,2026-07-16,15:00,16:30,Câmara,Agenda semanal,Planejado,
💰 Orçamento Quiel/Kauã/Lídio,2026-07-16,16:30,17:00,Receita,Agenda semanal,Planejado,
🟣 Entre Tempo — kit pré-lançamento,2026-07-17,07:30,10:15,Projeto,Agenda semanal,Planejado,
